Number,Translator,Chinese Sentences,Gloss,Note
train-01147,C,你能帮我在网上下载几首歌曲吗？,你/帮助（我）/在/网/下载/歌曲/可以/？,歌曲
train-01148,C,你能帮我建立一个局域网吗？,你/帮助（我）/建立/局域/网/可以/？,局域
train-01149,C,你能帮我打印这份文件吗？,你/帮助（我）/打印/文件2/可以/？,打印
train-01150,C,你能帮我把衣服叠起来吗？,你/帮助（我）/衣服/叠1/可以/？,
train-01151,C,你能帮我洗衣服吗？,你/帮助（我）/衣服/洗/可以/？,
train-01152,C,你能帮我绑头发吗？,你/帮助（我）/头发/绑/可以/？,
train-01153,C,你能帮我解决这个问题吗？,你/帮助（我）/解决/这/问题/可以/？,
train-01154,C,你能帮我请位医生吗？,你/帮助（我）/请/医生/可以/？,
train-01155,C,你能开点药方给我吗？,你/药方/开/给（我）/可以/？,
train-01156,C,你能承受工作上的压力吗？,你/工作/中/压力/承受/可以/？,压力
train-01157,C,你能把发夹拿给我吗？,你/发夹/拿/给（我)/可以/？,发夹
train-01158,C,你能把客厅家具上的灰尘擦干净吗？,你/客厅/灰尘/擦/干净/可以/？,
train-01159,C,你能把我的头发做成图片的样子吗？,你/我/头发/做/图片/一样/可以/？,
train-01160,C,你能把水果切成四瓣吗？,你/水果/切/分/四/可以/？,分
train-01161,C,你能把这个包成礼品吗？,你/这/包2/改变/礼物/可以/？,
train-01162,C,你能把这只杯子给我看下吗？,你/杯子/给(我)/看/可以/？,
train-01163,C,你能帮我把那件衬衫熨熨吗？,你/衬衣/熨/帮助（我）/可以/？,
train-01164,C,你能把门关上吗？,你/门/关/可以/？,
train-01165,C,你能按一下一楼吗？,你/按/一楼/可以/？,按
train-01166,C,你能推荐一些受欢迎的旅游景点吗？,你/流行/旅游/景点/介绍/可以/？,景点
train-01167,C,你能搭乘一班早一些的公共汽车吗？,你/坐/早/一/班1/公交/可以/？,
train-01168,C,你能更详细一些吗？,你/再/详细/点/可以/？,详细
train-01169,C,你能给我一支烟吗？,你/给(我)/烟/一/可以/？,
train-01170,C,你能给我兑一些小票吗？,你/给(我)/换/票/可以/？,
train-01171,C,你能给我剥这些花生吗？,你/帮助（我）/花生/剥/可以/？,剥
train-01172,C,你能给我推荐一些清淡的菜吗？,你/清谈/菜/推荐/给我/可以/？,
train-01173,C,你能认出嫌疑犯吗？,你/看/嫌疑/人/谁/？,
train-01174,C,你能载我去地铁站吗？,你/带（我）/去/地铁/站/可以/？,
train-01175,C,你能这样说，我非常感谢。,你/说/这样/我/感谢/很/。,
train-01176,C,你能适应新的工作吗？,你/合适2/新/工作2/可以/？,
train-01177,C,你脸色不太好，是不是晕船了？,你/脸色/不好/晕船/是/？,脸色、晕船、不好
train-01178,C,你脾气咋这么爆呢？,你/脾气/爆发/是/？,
train-01179,C,你自己知道自己是什么样的。,你/自己/知道/自己/样子/什么/。,
train-01180,C,你自找的。,你/自己/找/。,
train-01181,C,你自讨苦吃。,你/自己/找/苦2/吃/。,
train-01182,C,你英语说得好吗？,你/英语/说/好/是/？,英语
train-01183,C,你药喝了我就去工作。,你/药/喝/完/我/去/工作2/。,
train-01184,C,你被吓到了吧。,你/吓/是/。,
train-01185,C,你要不帮我，我就把你交给警方。,你/如果/不/帮助（我）/我/把/你/给/警察/会/。,
train-01186,C,你要不要我们帮你订购一本？,我们/帮助/订购/一本/要/？,订购
train-01187,C,你要不要看？,你/看/要/？,
train-01188,C,你要买什么呀？,你/买/什么/要/？,
train-01189,C,你要什么面额的钱？,你/钱/什么/要/？,
train-01190,C,你要别个发夹吗。,你/发夹/夹/要/。,发夹
train-01191,C,你要原色纸还是白色纸？,你/要/纸/原色/白色/哪/？,原色
train-01192,C,你要去买水吗？,你/买/水/要/？,
train-01193,C,你要哪类房间？,你/要/房间/种类/哪/？,
train-01194,C,你要喝杯茶吗？,你/喝/茶/要/？,
train-01195,C,你要坚强的继续走下去。,你/坚强/继续/走/要/。,
train-01196,C,你要多少票？,你/要/票/多少/？,
train-01197,C,你要好好长大。,你/要/好好/长大/。,
train-01198,C,你要对你的人生负责。,你/对/自己/人生/负责/要/。,
train-01199,C,你要怎么证明？,你/要/怎么/证明2/？,
train-01200,C,你要按时吃饭。,你/按时/吃饭/要/。,
train-01201,C,你要提前完成演讲稿。,你/提前1/完成/演讲/稿纸/要/。,
train-01202,C,你要是老这样花钱，总有一天要负债。,你/如果/花钱/一直/这样/以后/借/钱/会/。,
train-01203,C,你要有心理准备。,你/有/心理/准备/要/。,
train-01204,C,你要洗衣服吗？,你/洗/衣服/要/？,
train-01205,C,你要用大约一个小时才能到达机场。,你/差不多/一个小时/到/机场/要/。,
train-01206,C,你要看好的一面。,你/要/看/面/好/。,
train-01207,C,你要离开这么长时间，你什么计划吗？,你/如果/离开/时间长/你/计划/什么/？,
train-01208,C,你要绑发带吗？,你/发带/绑/要/？,发带
train-01209,C,你要选哪个？,你/选/哪/要/？,选
train-01210,C,你觉得什么东西最有趣？,你/感觉/东西/最/兴趣/什么/？,
train-01211,C,你觉得他好看吗？,你/感觉/他/好/看/是/？,
train-01212,C,你觉得他怎么样？,你/感觉/他/怎么样/？,
train-01213,C,你觉得哪里是你最安全和最让人放心？,你/感觉/你/最2/安全/放心/什么/？,
train-01214,C,你觉得喝酒后能开车吗？,你/感觉/喝酒/完/开车/可以/？,
train-01215,C,你觉得如何？,你/感觉/好不好/？,
train-01216,C,你觉得家庭和小区环境对你的成长有影响吗？,你/感觉/家庭/小区/环境/对你/成长/影响/有/？,小区
train-01217,C,你觉得家庭对你的成长有什么影响？,你/知道/家/对/你/影响/什么/？,
train-01218,C,你觉得川菜怎么样？,你/知道/四川/菜/怎么/？,
train-01219,C,你觉得应该怎么做？,你/知道/怎么/做/？,
train-01220,C,你觉得怎么样？,你/知道/怎么/？,
train-01221,C,你觉得我们的周末计划怎么样？,你/知道/我们/一周/最后/怎么/？,
train-01222,C,你觉得我是怎么的人？,你/知道/我/怎么/样子/人/是/？,
train-01223,C,你觉得我能走得到那儿吗？,你/知道/我走/到/那/可以/？,
train-01224,C,你觉得测验怎么样？,你/知道/检查/怎么/？,
train-01225,C,你觉得生活中最好的回忆是什么？,你/知道/生活/最2/好/回忆/什么/？,
train-01226,C,你觉得电子支付的安全性如何？,你/知道/电子/支出2/安全/样子/？,
train-01227,C,你觉得自己开朗吗？,你/知道/自己/开朗/？,
train-01228,C,你觉得自己是否已经很独立了呢？,你/知道/自己/独立/是/？,
train-01229,C,你觉得自己有什么优点和缺点？,你/知道/自己/优点/缺点/什么/？,
train-01230,C,你觉得自己有什么能力可以帮助别人？,你/知道/自己/有/什么/能力/帮助/别人/可以/？,
train-01231,C,你觉得运动对生活的影响大吗？,你/知道/运动/对/生活/影响/大/？,
train-01232,C,你觉得这个茶怎么样？,你/知道/这/茶/怎么/？,
train-01233,C,你觉得这堂课无聊吗？,你/知道/这/课/无聊/？,
train-01234,C,你觉得这种图案怎么？,你/知道/这/图案/怎么/？,
train-01235,C,你觉得这道菜好吃吗？,你/知道/这/菜/好/吃/？,
train-01236,C,你觉得那是真的吗？,你/知道/那/真2/？,
train-01237,C,你觉得饭菜的味道怎么样？,你/知道/菜/吃/怎么/？,
train-01238,C,你认为人们搬到城市里是好不好？,你/认为/人们/搬家/城市/好不好/？,
train-01239,C,你认为人生中最重要的事情是什么？,你/认为/人生/最2/重要/事情2/什么/？,
train-01240,C,你认为什么是成功？,你/认为/成功/什么/？,
train-01241,C,你认为什么类型的商品更重要？,你/认为/什么/种类/商品/更1/重要/？,
train-01242,C,你认为信任很重要吗？,你/认为/信任/重要/？,
train-01243,C,你认为健身房对健康有帮助？,你/认为/健身房/对/健康/重要/？,
train-01244,C,你认为儿童教育应该怎么样才好？,你/认为/小孩/教育/怎么/？,
train-01245,C,你认为公共场所是否应该禁烟？,你/认为/公/共{共同第一个动作}/广场/吸烟/禁止1/要/？,
train-01246,C,你认为友谊的定义是什么？,你/认为/友谊/决定/意思/什么/？,
train-01247,C,你认为哪个更好呢？,你/认为/哪/更2/好/？,
train-01248,C,你认为女性在工作中受到了歧视吗？,你/认为/女/在/工作1/中/歧视/有/？,
train-01249,C,你认为如何保持良好的工作生活平衡？,你/认为/保持/好/工作/生活/平衡/怎么/？,
train-01250,C,你认为学习外语重要吗？,你/认为/学习1/外语/重要/？,
train-01251,C,你认为学会一门新技能重要吗？,你/认为/学习1/新1/技术/重要/？,
train-01252,C,你认为家务活应该由谁来做？,你/认为/家/务{义务第二个动作}/谁/做/？,
train-01253,C,你认为心理健康重要吗？,你/认为/心/健康/重要/？,
train-01254,C,你认为旅游可以让人更开放吗？,你/认为/旅游/让/人/更2/开放/？,
train-01255,C,你认为最重要的财富是什么？,你/认为/最2/重要/钱/丰富/什么/？,
train-01256,C,你认为朋友之间会产生竞争吗？,你/认为/朋友/竞争/有/？,
train-01257,C,你认为朋友重要还是家人重要？,你/认为/朋友/重要/家/人/重要/？,
train-01258,C,你认为爱情有界限吗？,你/认为/爱情/界限/有/？,
train-01259,C,你认为生命中最大的幸福是什么？,你/认为/生命/最2/大/幸福/什么/？,
train-01260,C,你认为电子产品会对孩子的成长产生影响吗？,你/认为/电子/产品/对/小孩/成长/影响/？,
train-01261,C,你认为纪律很重要吗？,你/认为/纪律/重要/？,
train-01262,C,你认为自己是个早起的人还是晚睡晚起？,你/认为/自己/早上1/起床/还/晚上/睡觉/晚上/起床/？,
train-01263,C,你认为自己最擅长做什么？,你/认为/自己/最2/擅长/做/什么/？,
train-01264,C,你认为自由随意很重要吗？,你/认为/自由/重要/？,
train-01265,C,你认为购物渠道对价位的影响有多大？,你/认为/买/东西/方法/对/钱/影响/大/多少/？,
train-01266,C,你认为运动对健康有多重要？,你/认为/运动/对/健康/多少/重要/？,
train-01267,C,你认为钱能带来快乐吗？,你/认为/钱/给（我）/快乐/可以/？,
train-01268,C,你讨厌我吗？,你/讨厌/我/？,
train-01269,C,你该放松放松。,你/放松/要/。,放松
train-01270,C,你说什么都没用。,你/说/什么/没/用/。,
train-01271,C,你说得挺有道理的。,你/说/有/道理/。,
train-01272,C,你说我该种些什么好呢？,你/说/我/种/什么/好/？,
train-01273,C,你说的可是真的？,你/说/真2/？,
train-01274,C,你说话太粗鲁了。,你/说/粗鲁/。,
train-01275,C,你说谁干的？,你/说/谁/做/？,
train-01276,C,你说谎是错误的。,你/谎话/错/。,
train-01277,C,你负主要的责任。,你/负责/主要/责任/。,
train-01278,C,你赢了。,你/赢2/。,
train-01279,C,你超负荷工作了。,你/超/负荷2/工作/有/。,
train-01280,C,你身体好吗？,你/身体/好/？,
train-01281,C,你还好吗？,你/还/好/？,
train-01282,C,你还得花更多的时间来练习这个。,你/还/用/更2/多/时间/练习/这/。,
train-01283,C,你还是新手吧。,你/新1/手/是/。,
train-01284,C,你还是谦虚。,你/还/是/谦虚/。,
train-01285,C,你还有别的需求吗？,你/还/有/他/要求/？,
train-01286,C,你还要点什么别的吗？,你/又/要/什么/？,
train-01287,C,你还记得售票员是怎么说的吗？,你/还/记忆/卖/票/员{成员第二个动作}/怎么/说/？,
train-01288,C,你还需要别的服务吗？,你/还/要/其他/服务/？,
train-01289,C,你这个东西哪里买的？,你/这/东西/哪/买/？,
train-01290,C,你这人怎么这样啊。,你/这/人/这/样子/为什么/。,
train-01291,C,你这是恐吓。,你/恐吓/是/。,
train-01292,C,你这是要去哪里？,你/去/哪/？,
train-01293,C,你这次旅行的目的是什么？,你/旅游/目的/什么/？,
train-01294,C,你这次考试成绩出来了吗？,你/这/考试1/成绩/公布/有/？,
train-01295,C,你这次考试的结果如何？,你/这/考试1/结果/怎么/样子/？,
train-01296,C,你这次赚大了。,你/这/赚/多/。,
train-01297,C,你这辆出租车有人坐吗？,你/这/出租车/人/有/？,
train-01298,C,你这里有什么小吃吗？,你/这/小/吃/有/？,
train-01299,C,你通常会去哪些电商平台购物？,你/经常/去/什么/电/商/平台/买/东西/？,
train-01300,C,你通常会在哪些网站上寻找商品信息？,你/经常/在/什么/网/找/商品/信息/？,
train-01301,C,你通常使用哪种方式来查找商品信息？,你/经常/用/什么/方法/找/商品/信息/？,
train-01302,C,你通常做哪些运动？,你/经常/做/什么/运动/？,
train-01303,C,你通常吃哪种类型的早餐？,你/经常/吃/什么/种类/早上1/吃/？,
train-01304,C,你通常周末都会做什么？,你/经常/一周/最后/做/什么/？,
train-01305,C,你通常喜欢买哪些类型的鞋子？,你/经常/喜欢/买/什么/种类/鞋/？,
train-01306,C,你通常在健身房里做什么？,你/经常/在/健身房/做/什么/？,
train-01307,C,你通常早上几点起床？,你/经常/早上1/几点/起床/？,几点
train-01308,C,你通常穿什么样的衣服？,你/经常/穿/什么/样子/衣服/？,
train-01309,C,你通常选择什么样的早餐？,你/经常/挑选/什么/样子/早上1/吃/？,
train-01310,C,你通常采用怎么的方式来寻找独特的商品？,你/经常/用/什么/方法/找/特别/商品/？,
train-01311,C,你那里天气怎么样？,你/那/天气/怎么/？,
train-01312,C,你都喜欢看什么类型的电视？,你/喜欢/看/什么/种类/电视/？,
train-01313,C,你都能回答这个问题吗？,你/都/回答/这/问题/可以/？,
train-01314,C,你防守真的是太强了。,你/防守/强/。,
train-01315,C,你难道不喜欢他的歌吗？,他/歌/你/不喜欢/？,
train-01316,C,你难道不感兴趣吗？,你/兴趣/没有/？,
train-01317,C,你难道没错吗？,你/错误/没有/？,
train-01318,C,你需不需要来点儿？,你/要/不/？,
train-01319,C,你需要一些米饭吗？,你/米/要/？,
train-01320,C,你需要一辆出租车到酒店购物中心。,你/出租车/到/酒店/买/东西/中/心/要/。,
train-01321,C,你需要去运动锻炼一下。,你/要/去/锻炼/。,
train-01322,C,你需要在过期之前把它用了。,你/要/在/超过/期限/前/用/。,
train-01323,C,你需要微波炉。,你/要/微波炉/。,
train-01324,C,你需要支付水电费。,你/结账/水/电/钱/要/。,
train-01325,C,你需要的东西目前没有。,你/要东西/现在/没有/。,
train-01326,C,你非常专业。,你/专业/很1/。,
train-01327,C,你须预付一个月的房租。,你/提前/支出/一/月/房子/租/钱/。,
train-01328,C,你骗人了吧。,你/欺骗/。,
train-01329,C,俄罗斯拥有世界最大面积的领土。,俄罗斯/世界/最2/大/面积/土地/有/。,
train-01330,C,俄罗斯继承了苏联的大部分遗产。,俄罗斯/继承1/苏/联系/大/部分/遗产1/。,
train-01331,C,保修期是多长时间？,保护/修理/期限/时间/多少/？,
train-01332,C,保证了水果的品质。,保证/水果/品/质量/。,
train-01333,C,信不信由你。,信任/不信任/随便/。,
train-01334,C,信心是最好的品德。,信心/是/最2/好/品德/。,
train-01335,C,修剪一下就行了。,整枝/可以/。,
train-01336,C,做一个妈妈是不容易的。,做/妈妈/不/容易/。,
train-01337,C,做好事不错。,做/好/事情2/不/错误/。,
train-01338,C,健康是最佳的礼物。,健康/是/最2/好/礼物/。,
train-01339,C,偷偷告诉你，我喜欢你。,偷/告诉/你/我/喜欢/你/。,
train-01340,C,傍晚的太阳落下了。,晚上/太阳/落下/。,落下
train-01341,C,像往常一样，来开会的人不多。,像/前/一样/来/开会/人/多/不/。,
train-01342,C,儿子，你真棒。,男孩/好/。,
train-01343,C,元旦我们去哪里玩？,元旦/我们/去/哪/？,
train-01344,C,充分的运动会帮助你保持健康。,运动/够/帮助/你/保持/健康/。,
train-01345,C,先完成你要做的事情。,第一/完/你/要/做/事情2/。,
train-01346,C,先生，你们有几个人？,先生1/你们/人/多少/？,
train-01347,C,先生，这是菜单，请慢慢看。,先生1/这/菜单/慢/看/。,
train-01348,C,先要了解目前最有效的治沙方案。,第一/了解/现在/最2/有/效果/治理/沙子/方案/。,
train-01349,C,先进的科学技术。,先进/科学/技术/。,
train-01350,C,入场券多少钱？,进/广场/票/价格/？,
train-01351,C,入境处在什么地方？,进/边境/哪/？,
train-01352,C,全力支持2地党委履行好主体责任。,全/力量/支持/二/地/党2/委{委员第一个动作}/做/主/身体/责任/。,
train-01353,C,全球气候变暖了。,全/地球/气候/改变/温暖/。,
train-01354,C,全部实行台账化管理和项目化推进。,全/做/台账化/管理/项目/推进/。,台账化
train-01355,C,全都做完了。,全/做/完/。,
train-01356,C,全都由她决定。,全/她/决定/。,
train-01357,C,公务员只是无数职业中的一个。,公/务{义务第二个动作}/多/职业/里/一/。,
train-01358,C,公司不能履行和你的协议了。,公司/执行/和/你/协议/不行2/。,
train-01359,C,公司在精简人员。,公司/在/人/开除/。,
train-01360,C,公司就只派了2个人。,公司/派/人/二/。,
train-01361,C,公交车准时来了。,有公交车/标准/时间/来/。,
train-01362,C,共同创造更加幸福美好的未来。,共同/创造/更2/幸福/美丽/好/未来/。,
train-01363,C,共同去面对压力。,共同/表面/对/负担/。,
train-01364,C,关上电视。,电视/关/。,
train-01365,C,其实回收站的种类有很多。,接收/站/种类/多/。,
train-01366,C,具体问题具体分析。,具体/问题/具体/分/。,
train-01367,C,养成良好的习惯和训练规律。,培养/好/习惯/和/训练/规律/。,
train-01368,C,再来一杯怎么样？,再/一/喝/怎么/？,
train-01369,C,再来一次。,再/一/C/。,
train-01370,C,再来一点蔬菜和煮土豆。,再/菜/和/煮/土豆/。,
train-01371,C,再次向公众开放。,再/对/公/群众/开放/。,
train-01372,C,再见。,再见/。,
train-01373,C,再见，同学们，别忘了我们。,再见/同学/们/忘记/我们/不/。,
train-01374,C,再试一试。,再/试一试{试验第一个动作}/。,
train-01375,C,再说一遍。,再/说/一/B/。,
train-01376,C,再过几分钟就好了。,再/等/多少/分钟/好/。,
train-01377,C,写一2句给我就行了。,写/1/2/句子/给（我）/可以/。,
train-01378,C,农作物与食物。,农作物/和/食物/。,
train-01379,C,农民只占人口的一小部分。,农民/人/口/小/部分/。,
train-01380,C,农民对天气总是很关心。,农民/对/天气1/关心/很1/。,
train-01381,C,冬天是寒冷的。,冬天/冷/是/。,
train-01382,C,冰已经厚得可以滑冰了。,冰1/厚/滑冰/可以/。,
train-01383,C,冰淇淋深受孩子们的喜欢。,冰淇淋/小孩/喜欢/。,
train-01384,C,冷得像要结冰了。,冷/冰/像/。,
train-01385,C,准备下车了。,准备/下/汽车2/。,
train-01386,C,准备去哪里呢？,准备/去/哪/？,
train-01387,C,几分钟了居然还不能吸引你。,多少/分钟/还/吸引/你/不行2/。,
train-01388,C,凡事都有开端。,都/事/开始/有/。,
train-01389,C,凭什么说这份合同是假的？,为什么/说/这/合同/假/？,
train-01390,C,出现了一些负面影响。,坏/影响/有/。,
train-01391,C,出车祸是我最担心的事。,出事/我/最2/担心/。,
train-01392,C,切菜时注意你的手指。,切/手/注意2/。,
train-01393,C,刚刚真是太惊险了。,刚才/危险1/。,
train-01394,C,别人的情绪不须要你关心。,别人/情绪/你/关心/不/。,
train-01395,C,别人能行的我也能行。,别人/可以/我/一样/可以/。,
train-01396,C,别光摇头。,一直/摇头/不/。,摇头
train-01397,C,别再打扰我了。,打扰/我/不/。,
train-01398,C,别再犹豫不决了。,犹豫/不/。,
train-01399,C,别冲动。,冲动/不/。,
train-01400,C,别哭了。,哭/不/。,
train-01401,C,别客气，像在自己家一样。,客气/不/像/自己/家/一样/。,
train-01402,C,别害怕，你的后边我在呢。,害怕/不/你/后2/我/在/。,
train-01403,C,别开玩笑了。,开玩笑/不/。,
train-01404,C,别忘了。,忘记/不/。,
train-01405,C,别急着走啊。,着急/走/不/。,
train-01406,C,别把我当傻瓜。,知道/我/呆/不/。,
train-01407,C,别把面包屑洒在桌子上。,面包/土/桌子/落/不/。,
train-01408,C,别担心了，那是常有的事。,担心/不/经常/有/事情2/是/。,
train-01409,C,别指望我。,期待/我/不/。,
train-01410,C,别来烦我。,来/烦闷/我/不/。,
train-01411,C,别用那种眼神看着我。,用/那/眼/看1/我/不/。,
train-01412,C,别看不起人。,看不起/人/不/。,
train-01413,C,别瞒着我事实真相。,隐瞒/事情2/真2/不/。,
train-01414,C,别管那个孩子，他自己会做决定的。,不管/那/小孩/他/自己/决定/会/。,
train-01415,C,别让我失望。,让（我）/失望/不/。,
train-01416,C,别责备自己了。,责备/自己/不/。,
train-01417,C,别那么不讲道理。,不/说/道理1/不行2/。,
train-01418,C,别那么挑食，对你的健康不好。,挑食/不要/对/你/健康/不好/。,挑食、不好
train-01419,C,别那么自暴自弃。,自己/暴/放弃/不要/。,暴
train-01420,C,到前面来看的清楚点。,到/前面/来/看/清楚/是/。,
train-01421,C,到宾馆需要半个小时。,到/宾馆/时间/半个小时/要/。,
train-01422,C,到对方的人站在船上。,到/对方/人/站在/船/上/。,对方
train-01423,C,到底想让我做什么？,到底/想/让/我/做/什么/？,
train-01424,C,到目前差不多有10年了。,到/现在/10/年/差不多/。,
train-01425,C,前路还很长。,前/路/长/。,
train-01426,C,前边的人挡着，我看不见。,前面/人/挡/我看/不行/。,
train-01427,C,前面堵车了吗？,前面/堵车/是/？,
train-01428,C,前面那栋就是。,前面/那/楼/是/。,
train-01429,C,办公室各种工作我都能做。,办公室/全部/工作/我/做/可以/。,
train-01430,C,加了几个鸡蛋？,增加/鸡蛋/多少/？,
train-01431,C,加入我们吧。,增加/我们/可以/。,
train-01432,C,辛苦了，帮我查一封航空挂号信件。,辛苦/检查/一份/航空/信件/帮助（我）/。,信件
train-01433,C,勇敢点儿。,勇敢/点/。,
train-01434,C,北京有哪些古迹？,北京/古迹/有/什么/？,
train-01435,C,北京有多少个公园？,北京/公园/多少/？,
train-01436,C,北斗卫星和以前相比已经便宜几倍了。,北斗卫星/和/之前/比较/现在/便宜/是/。,北斗卫星
train-01437,C,北方的夏季天亮得快。,北方/夏天/开始/亮/早/。,
train-01438,C,北方黑土地的肥沃度正在逐年下降。,北方/黑/土地/富/度/下降/一直/。,度
train-01439,C,医生建议你远离含脂肪多的食物。,医生/建议/吃/脂肪/多/食物/不/。,
train-01440,C,医生成功挽救了他的生命。,医生/救/他/生命/是/。,
train-01441,C,医生说我需要注意饮食。,医生/说/我/注意/吃/喝/要/。,
train-01442,C,医生，我会把你的话记在心里的。,医生/你/说话/我/记/心里/会/。,
train-01443,C,医生，我是怎么了？,医生/我/怎么/？,
train-01444,C,医院看病麻烦吗？,医院/看/病/麻烦/是/？,
train-01445,C,千年盐湖逐步停止生产食用盐。,千/年/盐/湖/停止/生产/食/盐/。,
train-01446,C,南方降水将会减弱。,南方/雨/降/会/。,
train-01447,C,南海是我国主要的三大边缘海区。,南海/是/我国/主要/边缘/海区/。,海区
train-01448,C,南海群岛自古便是中国领土不可分割的一部分。,南海群岛/一直/中国/领土/是/。,
train-01449,C,博物馆什么时候开放？,博物馆/开始/时间/什么/？,
train-01450,C,博白是国家级水稻制种大县。,博白/国家/级/稻子/种/大/县/是/。,博白
train-01451,C,厂商或商店有时为促销某产品，会提供商品折扣。,厂/商/商店/有时候/为了/推广/产品/商品/打折/会/。,
train-01452,C,厕所没纸了。,厕所/纸/没有/。,
train-01453,C,原来香蕉还有这么大的用途呢。,原来/香蕉/用途/大/。,用途
train-01454,C,原谅你也行。,原谅/你/可以/。,
train-01455,C,厨房里有没有煤气灶。,厨房/煤气灶/没有/。,煤气灶
train-01456,C,去上海的单程票多少钱？,去/上海/票/一次/钱/多少/？,
train-01457,C,去了菜市场买菜。,去/菜市场/买/菜/。,菜市场
train-01458,C,你的油箱加了油吗？,你/油箱/加/油/有/？,油箱
train-01459,C,你胆子真大。,你/胆/大/真2/。,
train-01460,C,你能帮我按一下门铃吗？,你/帮助（我）/按/门铃/可以/？,按、门铃
train-01461,C,你能推荐一下好玩的地方给我吗？,你/好玩/地方/介绍/给（我）/可以/？,
train-01462,C,你读的最好的学科是哪个？,你/读书/学/科/最2/好/哪/？,
train-01463,C,你近期的目标是什么？,你/近/时期/目标/什么/？,
train-01464,C,公交车上没有售票员。,公交/售票员/没有/。,售票员
train-01465,C,准备下车，前方到站了。,准备/下车/前方/到/站/。,
train-01466,C,原来那个男人是我朋友。,原来/那个/男/我/朋友/是/。,
train-01467,C,合约的内容你看了没有？,合约/内容/你/看/有/？,合约
train-01468,C,你这颗球传的不错。,你/这/传球/好/。,传球
train-01469,C,你通常什么时候去跳舞？,你/通常/跳舞/时间/多少/？,
train-01470,C,你都是跟别人这么讲话吗？,你/通常/和/别人/说话/这样/是/？,
train-01471,C,你顺便问一下他去干嘛了。,你/顺便/问/他/做/什么/。,顺便
train-01472,C,保持好奇心，永远充满热情。,保持/好奇心/永远/激情/满/。,好奇心、激情
train-01473,C,全场商品价格下降20%。,全场/商品/钱/下降/20%/。,20%
train-01474,C,公共场合禁止吸烟。,公共/场合/吸烟/禁止/。,公共
train-01475,C,写讲稿对我来说很简单。,讲/稿{初稿的第二个手势动作}/写/简单/对/我/说/。,
train-01476,C,切菜时不小心切到手指。,切菜/时候/不小心/切手指/。,切菜、切手指
train-01477,C,北方的沙尘暴杀伤力很大。,北方/沙尘暴/害{迫害的第二个手势动作}/大/。,沙尘暴
train-01478,C,发挥自己的优势，克服短板。,用/自己/优势/克服/短板/。,短板
train-01479,C,我最喜爱的球员进入了决赛。,球员/我/最2/喜欢/进入/决赛/是/。,进入
train-01480,C,大家把这次的费用分摊了吧。,这次/钱/大家/平摊/。,平摊
train-01481,C,奶奶对我很凶。,奶奶/凶/对/我/。,
train-01482,C,妈妈是我心中的榜样。,妈妈/我/心/中/目标/是/。,
train-01483,C,学会沟通，避免误解和冲突。,沟通/学/误会/冲突/避免/。,
train-01484,C,对于做家务我很有发言权。,做/家务/发言2/权/我/有/。,家务
train-01485,D,去做你的功课。,去/写/作业/。,功课
train-01486,D,去图书馆应该走哪个出口？,去/图书馆/出口/选/什么/？,选择
train-01487,D,去年夏天拍摄的照片怎么样？,去年/夏天/照片/怎么样/？,去年
train-01488,D,去当兵吧。,去/做/兵/。,
train-01489,D,去打乒乓球。,去/乒乓球/。,
train-01490,D,去打篮球。,去/篮球/。,
train-01491,D,去打羽毛球。,去/羽毛球/。,
train-01492,D,去游泳。,去/游泳/。,
train-01493,D,去踢足球。,去/足球/。,
train-01494,D,去车站怎么走？,去/车/站/怎么/走/？,
train-01495,D,去车里找找。,去/车/里/找找/。,
train-01496,D,去附近的咖啡屋喝杯咖啡吧。,去/近/咖啡/屋/喝/咖啡/。,
train-01497,D,去饭店吃吧。,去/饭店/吃/。,
train-01498,D,又到广告时刻了。,又/到/广告/时间/。,
train-01499,D,又有一只猫来到我家。,又/猫/一/来/到/我/家/。,
train-01500,D,又被他纠缠不休。,又/被/他/纠缠/。,
train-01501,D,又要干嘛去。,又/做/什么/去/。,
train-01502,D,双方关系好了那自然会迎来双赢。,双方/关系/好/双赢/会/顺利/。,双方、双赢
train-01503,D,双方的利益达成了一个共识。,双方/利益/做到/共识/。,双方、共识
train-01504,D,反正你也看不了这么多，先借我几本看看好不好？,反正/你/多/看不完/，/先/借（我）/看看/好不好/？,
train-01505,D,发挥着日益重要的作用。,作用/越来越/重要/。,越来越 
train-01506,D,发脾气也是自我减压的一种方式。,自/我/减/压/方式/发脾气/是/。,发脾气
train-01507,D,变得不愿意说话。,改变/说话/不愿意/。,
train-01508,D,叙利亚已收到数千笔中国捐款。,叙利亚/收到/中国/捐款/数千次/。,数千
train-01509,D,只剩一个位置了吗？,只/剩/位置2/一/？,
train-01510,D,只是为消遣一下。,为/消遣/。,消遣
train-01511,D,只是来过一2次而已。,来过/一/2次/完了/。,而已
train-01512,D,只有找到工作，他才有足够的钱继续接受教育。,找/到/工作/他/钱/够/继续/接受/教育/可以/。,
train-01513,D,只能现金支付。,必须/现金/支付/。,支付
train-01514,D,只要你想做，你就一定能做得到。,只要2/你/想/做/你/做/到/可以/。,
train-01515,D,只要你玩得开心，花多少钱并不重要。,只要2/你/玩/开心/花钱/多少/不/重要/。,
train-01516,D,只要你相信我。,只要2/你/相信/我/。,
train-01517,D,只要我们在一起，我就觉得年轻。,只要2/我们/在/一起/我/觉得/年轻/。,
